city,state,median_age,male_population,female_population,total_population,state_code
Silver Spring,Maryland,33.8,40601.0,41862.0,82463,MD
Quincy,Massachusetts,41.0,44129.0,49500.0,93629,MA
Hoover,Alabama,38.5,38040.0,46799.0,84839,AL
Rancho Cucamonga,California,34.5,88127.0,87105.0,175232,CA
Newark,New Jersey,34.6,138040.0,143873.0,281913,NJ
Peoria,Illinois,33.1,56229.0,62432.0,118661,IL
Avondale,Arizona,29.1,38712.0,41971.0,80683,AZ
West Covina,California,39.8,51629.0,56860.0,108489,CA
O'Fallon,Missouri,36.0,41762.0,43270.0,85032,MO
High Point,North Carolina,35.5,51751.0,58077.0,109828,NC
Folsom,California,40.9,41051.0,35317.0,76368,CA
Folsom,California,40.9,41051.0,35317.0,76368,CA
Philadelphia,Pennsylvania,34.1,741270.0,826172.0,1567442,PA
Wichita,Kansas,34.6,192354.0,197601.0,389955,KS
Wichita,Kansas,34.6,192354.0,197601.0,389955,KS
Fort Myers,Florida,37.3,36850.0,37165.0,74015,FL
Pittsburgh,Pennsylvania,32.9,149690.0,154695.0,304385,PA
Laredo,Texas,28.8,124305.0,131484.0,255789,TX
Berkeley,California,32.5,60142.0,60829.0,120971,CA
Santa Clara,California,35.2,63278.0,62938.0,126216,CA
Allen,Pennsylvania,33.5,60626.0,59581.0,120207,PA
Hampton,Virginia,35.5,66214.0,70240.0,136454,VA
Bolingbrook,Illinois,33.7,36295.0,35801.0,72096,IL
Frederick,Maryland,36.1,33146.0,36336.0,69482,MD
Sparks,Nevada,36.1,47780.0,48318.0,96098,NV
Rancho Cordova,California,33.8,34844.0,36182.0,71026,CA
Westminster,Colorado,37.8,54866.0,58251.0,113117,CO
Lakewood,Colorado,37.7,76013.0,76576.0,152589,CO
Flint,Michigan,35.3,48984.0,49313.0,98297,MI
New Haven,Connecticut,29.9,63765.0,66545.0,130310,CT
Brooklyn Park,Minnesota,35.1,37845.0,41305.0,79150,MN
Chula Vista,California,34.6,131485.0,134269.0,265754,CA
Danbury,Connecticut,37.3,43435.0,41227.0,84662,CT
Framingham,Massachusetts,40.3,35442.0,35768.0,71210,MA
Saint Petersburg,Florida,41.8,123524.0,133564.0,257088,FL
Miami Gardens,Florida,34.9,50719.0,62480.0,113199,FL
Salt Lake City,Utah,32.1,98364.0,94296.0,192660,UT
Suffolk,Virginia,38.2,43048.0,45113.0,88161,VA
North Little Rock,Arkansas,33.6,31671.0,34835.0,66506,AR
Jurupa Valley,California,33.8,49430.0,50884.0,100314,CA
Los Angeles,California,35.0,1958998.0,2012898.0,3971896,CA
Flower Mound,Texas,40.2,35200.0,35824.0,71024,TX
Vacaville,California,35.8,50091.0,46703.0,96794,CA
Clarksville,Tennessee,29.7,75029.0,74161.0,149190,TN
New Britain,Connecticut,33.4,37350.0,35459.0,72809,CT
Tulsa,Oklahoma,35.0,197437.0,205654.0,403091,OK
Seattle,Washington,35.5,345659.0,338784.0,684443,WA
Mesa,Arizona,36.9,234998.0,236835.0,471833,AZ
Yonkers,New York,38.0,96580.0,104538.0,201118,NY
Camden,New Jersey,27.9,36437.0,39694.0,76131,NJ
Alexandria,Virginia,36.6,74989.0,78522.0,153511,VA
Jonesboro,Arkansas,32.6,35666.0,38240.0,73906,AR
El Monte,California,37.3,57961.0,58784.0,116745,CA
Roswell,Georgia,38.8,48637.0,45859.0,94496,GA
Omaha,Nebraska,34.2,218789.0,225098.0,443887,NE
Omaha,Nebraska,34.2,218789.0,225098.0,443887,NE
Troy,Michigan,43.3,42371.0,40905.0,83276,MI
Winston-Salem,North Carolina,34.7,112520.0,128712.0,241232,NC
Corpus Christi,Texas,35.0,160488.0,163594.0,324082,TX
Atlanta,Georgia,33.8,223960.0,239915.0,463875,GA
Bryan,Texas,29.4,41761.0,40345.0,82106,TX
Lynchburg,Virginia,28.7,38614.0,41198.0,79812,VA
Columbia,Maryland,37.9,52202.0,51265.0,103467,MD
Killeen,Texas,29.2,69442.0,71367.0,140809,TX
Nashville,Tennessee,34.1,314231.0,340365.0,654596,TN
Somerville,Massachusetts,31.0,41028.0,39306.0,80334,MA
Bakersfield,California,30.6,182154.0,191473.0,373627,CA
Montgomery,Alabama,35.4,94582.0,106004.0,200586,AL
Huntsville,Alabama,38.1,91764.0,97350.0,189114,AL
Greensboro,North Carolina,35.5,132251.0,153093.0,285344,NC
Turlock,California,36.2,33190.0,39103.0,72293,CA
Lynwood,California,29.4,35634.0,36371.0,72005,CA
El Paso,Texas,33.1,332797.0,348339.0,681136,TX
Lexington-Fayette  county,Kentucky,34.4,154032.0,160456.0,314488,KY
Rock Hill,South Carolina,34.5,33324.0,38243.0,71567,SC
Richardson,Texas,35.5,54676.0,56151.0,110827,TX
Waco,Texas,29.3,63452.0,68890.0,132342,TX
Waco,Texas,29.3,63452.0,68890.0,132342,TX
San Buenaventura,California,37.7,53932.0,55785.0,109717,CA
Stamford,Connecticut,35.4,64941.0,63936.0,128877,CT
Vallejo,California,37.8,58379.0,62890.0,121269,CA
Denver,Colorado,34.1,341137.0,341408.0,682545,CO
Springdale,Arkansas,31.8,36840.0,43614.0,80454,AR
Chino,California,36.5,50989.0,34610.0,85599,CA
Toms River,New Jersey,43.7,43864.0,43886.0,87750,NJ
Lynn,Massachusetts,34.8,44598.0,47861.0,92459,MA
Lynn,Massachusetts,34.8,44598.0,47861.0,92459,MA
Lawton,Oklahoma,31.1,51099.0,45560.0,96659,OK
Garland,Texas,34.5,116406.0,120430.0,236836,TX
Garland,Texas,34.5,116406.0,120430.0,236836,TX
